id;name;location;industry;website_url
1;Isle;benchmark;ENGINEERING;Global Borders
2;backing interface;withdrawal;COMPUTING;International teal reboot
3;Executive Analyst;optical Integrated;HEALTHCARE;Small
4;explicit;Steel JBOD Greece;ENGINEERING;e-markets
5;Central standardization;Towels Tuna architecture;COMPUTING;Russian CSS
6;Computer Hat;Southern middleware;HEALTHCARE;viral
7;Concrete Synergized;Central Investment Extensions;BANKING;Re-contextualized
8;leverage magnetic SCSI;Account definition Computer;COMPUTING;Hawaii interactive local
9;Sausages Azerbaijanian;International Montserrat;HEALTHCARE;withdrawal THX
10;Central solution;AGP viral;BANKING;transmit optical
