id;title;description;requirements
1;Armenia Optimization;for hacking maximize;deposit
2;ubiquitous;Drive optimizing primary;copying Beauty
3;pink applications;Plastic Down-sized ADP;Ergonomic
4;Buckinghamshire;card Mills;enterprise initiatives envisioneer
5;firewall generate Operations;Money Incredible Infrastructure;Cross-group USB purple
6;Optimization;Markets content-based mission-critical;Balboa
7;e-services violet;green e-commerce;input Savings Togo
8;Cyprus;Rand;Legacy parsing
9;national strategy Outdoors;Outdoors;homogeneous Ergonomic fuchsia
10;payment Electronics orange;Horizontal Toys;Chair FTP content
